City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Ocos,GT,71.6,few clouds,14.5094,-92.1933,Auto Hotel El So帽ador
10,Baracoa,CU,72.99,clear sky,20.3467,-74.4958,Hostal Rio Miel
11,Mataura,NZ,74.17,light rain,-46.1927,168.8643,Ellie's Villa
12,Airai,TL,70.43,overcast clouds,-8.9266,125.4092,Juvinal Martin
31,Kapaa,US,71.6,scattered clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
57,Huarmey,PE,71.47,overcast clouds,-10.0681,-78.1522,Hotel Miramar
89,Flinders,AU,73.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
105,Santa Quiteria Do Maranhao,BR,73.69,clear sky,-3.5156,-42.5467,Casa Galv茫o
145,Nishihara,JP,71.6,scattered clouds,26.1842,127.7558,Minshuku Agaihama
166,Arraial Do Cabo,BR,73.56,light rain,-22.9661,-42.0278,Pousada Porto Praia
181,Hirara,JP,73.4,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
201,Pisco,PE,71.6,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
207,Kahului,US,73.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
211,Puerto Cabezas,NI,74.88,clear sky,14.0351,-83.3888,Hotel Caribe
212,Gympie,AU,75.0,overcast clouds,-26.1898,152.665,Mary River Motor Inn
216,Sur,OM,70.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
244,Vila Velha,BR,70.0,overcast clouds,-20.3297,-40.2925,Hotel Vit贸ria Palace
266,Lakhisarai,IN,71.26,clear sky,25.1768,86.0932,Hotel DRS Deluxe
278,Acapulco,MX,74.98,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
282,Namibe,AO,72.3,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
289,Victor Harbor,AU,73.0,clear sky,-35.5667,138.6167,McCracken Country Club
294,Ahipara,NZ,72.59,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
303,Santiago De Cao,PE,70.41,overcast clouds,-7.9589,-79.2392,Villa Konecta - Alojamiento Familiar
328,Wanning,CN,74.46,overcast clouds,18.8003,110.3967,Paradise Hotel
336,Maracacume,BR,72.66,broken clouds,-2.0428,-45.9592,Hotel Ramos
339,Ilhabela,BR,72.3,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
352,Xuddur,SO,72.27,few clouds,4.1213,43.8894,Banjanay Hotel
368,Salta,AR,71.6,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
372,Peabiru,BR,71.6,clear sky,-23.9128,-52.3431,La visa hotel
379,Moche,PE,70.54,overcast clouds,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
383,Batemans Bay,AU,73.0,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
404,Adzope,CI,74.23,broken clouds,6.1069,-3.8619,H么tel AKL
407,Maceio,BR,73.4,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Macei贸
412,San Vicente De Canete,PE,71.56,overcast clouds,-13.0751,-76.3835,Hotel Konford
419,Guanica,PR,71.01,scattered clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
464,Presidente Medici,BR,72.82,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
480,Itoman,JP,71.6,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
493,Moron,AR,75.0,clear sky,-34.6534,-58.6198,Hotel Mor贸n
499,Marsh Harbour,BS,74.88,broken clouds,26.5412,-77.0636,Abaco Beach Resort
517,Wukari,NG,70.11,overcast clouds,7.85,9.7833,Elimtop
521,Jacareacanga,BR,74.21,overcast clouds,-6.2222,-57.7528,Casa do Ian
523,Santa Isabel Do Rio Negro,BR,74.39,overcast clouds,-0.4139,-65.0192,Hotel GSA
534,Ormara,PK,71.92,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
549,Catamarca,AR,70.0,moderate rain,-28.4696,-65.7852,Amerian Catamarca Park Hotel
610,Coahuayana,MX,73.69,broken clouds,18.7333,-103.6833,Hotel Los Arcos
614,Penalva,BR,73.44,broken clouds,-3.2942,-45.1736,Hotel Lago Verde
626,Launceston,AU,70.0,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
651,Coxim,BR,71.17,clear sky,-18.5067,-54.76,Hotel Avenida
661,Zaraza,VE,73.96,broken clouds,9.3503,-65.3245,Hotel Zaraza
665,Bull Savanna,JM,70.23,clear sky,17.8868,-77.5902,Big Red's
669,Kaabong,UG,70.9,overcast clouds,3.4836,34.1492,Rock Motel Ltd
674,Ondjiva,AO,72.05,overcast clouds,-17.0667,15.7333,SOS Motel
